name,category,title,description,date,keyword
안철수,경제,금융실명거래 및 비밀보장에 관한 법률 일부개정법률안,...,2013-09-06,금융실명제
안철수,경제,특정 금융거래정보의 보고 및 이용 등에 관한 법률 일부개정법률안,,2013-09-06,금융거래정보
안철수,민생,범죄수익은닉의 규제 및 처벌 등에 관한 법률 일부개정법률안	,,2013-09-06,범죄수익은닉
안철수,정치,정부조직법 일부개정법률안	,,2013-11-28,정부조직법
안철수,경제,금융소비자 보호 및 금융상품 판매에 관한 법률안	,,2013-11-28,금융소비자
안철수,경제,금융위원회의 설치 등에 관한 법률 일부개정법률안	,,2013-11-28,금융위원회
안철수,복지,국민건강보험법 일부개정법률안	,,2013-12-06,국민건강보험
안철수,민생,통신비밀보호법 전부개정법률안	,,2014-01-16,통신비밀보호
안철수,복지,노인장기요양보험법 일부개정법률안	,,2014-01-17,노인장기요양보험
안철수,복지,국민건강보험법 일부개정법률안	,,2014-01-17,국민건강보험
안철수,경제,국세징수법 일부개정법률안	,,2014-01-17,국세징수
안철수,정치,정당법 일부개정법률안	,,2014-02-10,정당법
안철수,민생,국가장애인위원회 설치 및 운영에 관한 법률안	,,2014-02-25,국가장애인위원회
안철수,민생,아동복지법 일부개정법률안	,,2014-03-12,아동복지
안철수,복지,노인장기요양보험법 일부개정법률안	,,2014-03-14,노인장기요양보험
안철수,기타,2018 평창 동계올림픽대회 및 장애인동계올림픽대회 지원 등에 관한 특별법 일부개정법률안	,,2014-03-20,평창동계올림픽
안철수,복지,사회보장수급권자의 발굴 및 지원에 관한 법률안	,,2014-03-28,사회보장수급권자
안철수,복지,긴급복지지원법 일부개정법률안	,,2014-03-28,긴급복지지원
안철수,복지,국민기초생활 보장법 일부개정법률안	,,2014-03-28,국민기초생활
안철수,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)	,,2014-03-31,국무총리
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(교육ㆍ사회ㆍ문화에 관한 질문)	,,2014-03-31,국무위원
안철수,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문)	,,2014-03-31,국무총리
안철수,외교,유엔 사무국 및 관련 산하기관 발간 지도상 동해 표기 촉구 결의안	,,2014-03-31,유엔
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(경제에 관한 질문)	,,2014-03-31,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(외교ㆍ통일ㆍ안보에 관한 질문)	,,2014-03-31,국무총리
안철수,안보,병역법 일부개정법률안	,,2014-04-04,병역
안철수,복지,장애인·노인·임산부등의편의증진보장에관한법률 일부개정법률안	,,2014-04-07,"장애인, 노인, 임산부"
안철수,민생,"세월호 침몰사고 신속구조, 피해지원 및 진상규명을 위한 결의안	",,2014-04-28,세월호
안철수,정치,정부위원 출석요구의 건	,,2014-05-20,정부위원
안철수,복지,장애인 인권침해 방지 및 피해장애인 보호 등에 관한 법률안	,,2014-05-28,장애인
안철수,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)	,,2014-06-10,국무총리
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(경제에 관한 질문)	,,2014-06-17,국무총리
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(교육ㆍ사회ㆍ문화에 관한 질문)	,,2014-06-17,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(정치ㆍ외교ㆍ통일ㆍ안보에 관한 질문)	,,2014-06-17,국무총리
안철수,복지,장애인활동 지원에 관한 법률 일부개정법률안	,,2014-06-19,장애인
안철수,민생,4ㆍ16 세월호 참사 진상규명 및 피해자 지원 등에 관한 특별법안	,,2014-07-04,세월호
안철수,외교,일본 정부의 집단적 자위권 도입에 대한 규탄 결의안        ,,2014-07-07,"일본, 자위권"
안철수,정치,국무총리 및 국무위원 출석요구의 건(외교ㆍ통일ㆍ안보에 관한 질문)	,,2014-10-28,국무총리
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(교육ㆍ사회ㆍ문화에 관한 질문)	,,2014-10-28,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)	,,2014-10-28,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문)	,,2014-10-28,국무총리
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(경제에 관한 질문)	,,2014-10-28,국무총리
안철수,정치,국회의원(하태경) 징계안	,,2014-12-17,하태경
안철수,정치,국회의원(김진태) 징계안	,,2014-12-17,김진태
안철수,정치,정부 및 공공기관 등의 해외자원개발 진상규명을 위한 국정조사요구	,,2014-12-29,"해외자원, 개발"
안철수,복지,장애인 인권침해 방지 및 권리옹호에 관한 법률안	,,2014-12-31,장애인
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(경제에 관한 질문)	,,2015-01-28,국무총리
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(교육ㆍ사회ㆍ문화에 관한 질문)	,,2015-01-28,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)	,,2015-01-28,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(정치ㆍ외교ㆍ통일ㆍ안보에 관한 질문)	,,2015-01-28,국무총리
안철수,정치,월성 1호기 계속운전 허가 철회와 노후 원전 즉각 폐쇄 촉구 결의안	,,2015-03-10,월성1호기
안철수,정치,국무총리 및 국무위원 출석요구의 건(외교ㆍ통일ㆍ안보에 관한 질문)	,,2015-04-02,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)	,,2015-04-02,국무총리
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(경제에 관한 질문)	,,2015-04-02,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문)	,,2015-04-02,국무총리
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(교육ㆍ사회ㆍ문화에 관한 질문)	,,2015-04-02,국무총리
안철수,민생,세월호 선체의 온전한 인양을 촉구하는 결의안	,,2015-04-07,세월호
안철수,민생,누리과정 예산 전액 국비지원 촉구 결의안	,,2015-04-14,누리과정
안철수,민생,호남고속철도 우회구간 요금 인하 및 증편ㆍ운행시간 단축 등 운영 개선과 2단계 구간 조기 착공 촉구 결의안	,,2015-04-15,호남고속철도
안철수,외교,네팔 지진 피해 희생자 추모 및 복구 지원 촉구 결의안 채택의 건	,,2015-04-30,"네팔, 지진"
안철수,복지,전공의의 수련환경 개선 및 지위 향상을 위한 법률안	,,2015-07-31,전공의
안철수,안보,북한군의 비무장지대(DMZ) 지뢰도발 행위 규탄 결의안	,,2015-08-11,비무장지대
안철수,민생,건강기능식품에 관한 법률 일부개정법률안	,,2015-08-21,건강기능식품
안철수,복지,형법 일부개정법률안        ,,2015-09-09,형법
안철수,민생,민법 일부개정법률안	,,2015-09-09,민법
안철수,정치,행정자치부장관(정종섭) 탄핵소추안	,,2015-09-14,행정자치부장관
안철수,민생,국민연금법 일부개정법률안	,,2015-09-30,국민연금
안철수,복지,사회기반시설에 대한 민간투자법 일부개정법률안	,,2015-09-30,민간투자법
안철수,정치,국무총리ㆍ국무위원 및 정부위원 출석요구의 건(교육ㆍ사회ㆍ문화에 관한 질문)	,,2015-10-05,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문)	,,2015-10-05,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(외교ㆍ통일ㆍ안보에 관한 질문)	,,2015-10-05,국무총리
안철수,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문)	,,2015-10-05,국무총리
안철수,정치,국무위원(부총리 겸 교육부장관 황우여) 해임건의안	,,2015-10-12,국무총리
안철수,복지,의료기기법 일부개정법률안	,,2015-10-23,의료기기법
안철수,복지,약사법 일부개정법률안	,,2015-10-23,약사법
안철수,복지,보건의료 인력지원 특별법안	,,2015-10-23,"보건의료, 인력지원"
안철수,복지,의료법 일부개정법률안	,,2015-10-23,의료법
안철수,사회,개인정보 보호법 일부개정법률안	,,2015-10-27,개인정보
안철수,정치,행정소송법 일부개정법률안	,,2015-10-30,행정소송
안철수,복지,의료법 일부개정법률안	,,2015-11-05,의료법
안철수,정치,공직자윤리법 일부개정법률안	,,2015-11-05,공직자 윤리
안철수,복지,감염병의 예방 및 관리에 관한 법률 일부개정법률안	,,2015-11-09,감염병
안철수,사회,방송문화진흥회 이사장(고영주) 해임 촉구 결의안	,,2015-11-11,방송문화진흥회
안철수,민생,담배 유해성 관리에 관한 법률안	,,2015-11-13,담배
안철수,경제,조세특례제한법 일부개정법률안	,,2016-02-18,조세특례
안철수,경제,독점규제 및 공정거래에 관한 법률 일부개정법률안	,,2016-02-18,독점규제
안철수,기타,공공기관의 운영에 관한 법률 일부개정법률안	,,2016-02-18,공공기관
안철수,복지,국민연금법 일부개정법률안	,,2016-02-18,국민연금
안철수,민생,지방세특례제한법 일부개정법률안	,,2016-02-18,"지방세, 특례"
안철수,민생,공공주택 특별법 일부개정법률안	,,2016-02-18,공공주택
안철수,경제,벤처기업육성에 관한 특별조치법 일부개정법률안	,,2016-02-18,벤처기업
