name,category,title,description,date,keyword
유승민,정치,공직선거법 일부개정법률안,...,2012-06-13,공직선거
유승민,경제,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,,2012-06-13,전통시장
유승민,민생,취업 후 학자금 상환 특별법 일부개정법률안,,2012-06-14,학자금
유승민,민생,통영의 딸 신숙자 모녀 생사확인 및 송환 촉구 결의안,,2012-06-19,신숙자
유승민,안보,군사기지 및 군사시설 보호구역 주변지역 지원 특별법안,,2012-06-25,군사기지
유승민,안보,참전유공자예우 및 단체설립에 관한 법률 일부개정법률안,,2012-06-25,참전유공자
유승민,기타,생태계위해 외래생물관리법안,,2012-06-26,생태계
유승민,사회,건설폐기물의 재활용촉진에 관한 법률 일부개정법률안,,2012-06-26,건설폐기물
유승민,정치,국회법 일부개정법률안,,2012-07-03,국회법
유승민,기타,교원 등의 교권보호법안,,2012-07-03,교원
유승민,기타,국적법 일부개정법률안,,2012-07-04,국적법
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(경제에 관한 질문),,2012-07-06,국무총리
유승민,안보,병역법 일부개정법률안,,2012-07-06,병역법
유승민,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설),,2012-07-06,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문),,2012-07-06,국무총리
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(교육·사회·문화에 관한 질문),,2012-07-06,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(외교·통일·안보에 관한 질문),,2012-07-06,국무총리
유승민,민생,교통사고처리 특례법 일부개정법률안,,2012-07-09,교통사고
유승민,안보,북한이탈주민의 보호 및 정착지원에 관한 법률 일부개정법률안,,2012-07-10,북한이탈주민
유승민,민생,초·중등교육법 일부개정법률안,,2012-07-11,초중등교육
유승민,민생,국립대학 재정·회계법안,,2012-07-11,국립대학
유승민,경제,조세특례제한법 일부개정법률안	,,2012-07-11,조세특례
유승민,민생,임대주택법 일부개정법률안,,2012-07-16,임대주택
유승민,기타,남부권국제공항공사법안,,2012-07-16,"남부권, 국제공항"
유승민,민생,성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,,2012-07-16,성폭력
유승민,민생,재외국민보호법안,,2012-07-19,재외국민
유승민,안보,군사시설 주변지역 지원에 관한 법률안,,2012-07-19,군사시설
유승민,정치,공직선거법 일부개정법률안,,2012-07-20,공직선거
유승민,정치,국회법 일부개정법률안,,2012-07-20,국회법
유승민,기타,학교체육 진흥법 일부개정법률안	,,2012-07-23,학교체육
유승민,민생,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,,2012-07-26,성폭력
유승민,기타,형법 일부개정법률안,,2012-07-26,형법
유승민,기타,형사소송법 일부개정법률안,,2012-07-26,형사소송
유승민,사회,국가상징물 지정 및 선양에 관한 법률안	,,2012-07-31,국가상징물
유승민,민생,도시 및 주거환경정비법 일부개정법률안,,2012-08-02,주거환경
유승민,안보,군인복무기본법안,,2012-08-02,군인
유승민,안보,군 공항 이전 및 지원에 관한 특별법안,,2012-08-07,"군, 공항"
유승민,복지,국민건강보험법 일부개정법률안,,2012-08-13,건강보험
유승민,민생,자전거이용 활성화에 관한 법률 일부개정법률안,,2012-08-13,자전거
유승민,민생,도로교통법 일부개정법률안	,,2012-08-13,도로교통
유승민,민생,공공기관 지방이전에 따른 혁신도시 건설 및 지원에 관한 특별법 일부개정법률안,,2012-08-13,공공기관
유승민,복지,국민연금법 일부개정법률안	,,2012-08-13,국민연금
