name,category,title,description,date,
심상정,복지,국민건강보험법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-12-22,국민건강보험법
,경제,출판문화산업 진흥법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-12-21,출판문화산업
,사회,신문 등의 진흥에 관한 법률 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-12-21,신문 진흥
,정치,공직선거법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-12-16,공직선거법
,사회,국립대학의 회계 설치 및 재정 운영에 관한 법률 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-12-07,국립대학
,사회,학교보건법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-12-02,학교보건법
,사회,폐기물관리법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-11-11,폐기물 관리법
,사회,폐기물의 국가 간 이동 및 그 처리에 관한 법률 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-11-11,폐기물
,사회,서예진흥에 관한 법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-11-09,서예진흥
,경제,사회적기업 육성법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-11-04,사회적기업
